Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
AgPd7_SG225_211_1_bridge1-s-3    2.832    2.81    0.94    2.78    8.0    2    -1.533    1.289    5.165    8.337    0.562    9.348    0.736    2.2    1.756    0.15    this work
AgPd7_SG225_211_1_bridge1-s-4    2.832    2.838    0.915    2.52    8.0    2    -2.386    1.171    5.165    7.957    0.933    9.659    0.799    2.065    0.947    0.146    this work
AgPd7_SG225_211_1_bridge1-t-1    2.832    2.829    0.94    2.78    9.5    2    -1.651    1.371    5.165    8.337    0.562    9.233    0.797    2.2    2.011    0.116    this work
AgPd7_SG225_211_1_bridge1-t-2    2.832    2.825    0.94    2.78    9.5    2    -1.658    1.377    5.165    8.337    0.562    9.238    0.803    2.2    1.968    0.117    this work
AgPd7_SG225_211_1_bridge1-t-3    2.832    2.829    0.94    2.78    9.5    2    -1.639    1.369    5.165    8.337    0.562    9.259    0.806    2.2    1.66    0.132    this work
AgPd7_SG225_211_1_bridge1-t-4    2.832    2.857    0.915    2.52    9.5    2    -2.492    1.251    5.165    7.957    0.933    9.57    0.869    2.065    0.85    0.129    this work
AgPd7_SG225_211_1_bridge2-s-1    2.832    2.808    0.94    2.78    7.0    2    -1.437    1.212    5.165    8.337    0.562    9.276    0.675    2.2    1.769    0.157    this work
AgPd7_SG225_211_1_bridge2-s-2    2.832    2.808    0.94    2.78    7.0    2    -1.437    1.212    5.165    8.337    0.562    9.276    0.675    2.2    1.769    0.157    this work
AgPd7_SG225_211_1_bridge2-s-3    2.832    2.8    0.94    2.78    7.0    2    -1.465    1.225    5.165    8.337    0.562    9.381    0.688    2.2    1.8    0.158    this work
AgPd7_SG225_211_1_bridge2-s-4    2.832    2.8    0.94    2.78    7.0    2    -1.465    1.225    5.165    8.337    0.562    9.381    0.688    2.2    1.8    0.158    this work
AgPd7_SG225_211_1_bridge2-t-1    2.832    2.817    0.94    2.78    9.0    2    -1.597    1.352    5.165    8.337    0.562    9.291    0.777    2.2    2.071    0.124    this work
AgPd7_SG225_211_1_bridge2-t-2    2.832    2.847    0.915    2.52    9.0    2    -2.454    1.236    5.165    7.957    0.933    9.626    0.847    2.065    0.903    0.139    this work
AgPd7_SG225_211_1_fcc-s-1    2.832    2.814    0.94    2.78    8.333    3    -1.544    1.305    5.165    8.337    0.562    9.286    0.743    2.2    1.97    0.135    this work
AgPd7_SG225_211_1_fcc-s-2    2.832    2.832    0.923    2.607    8.333    3    -2.124    1.232    5.165    8.083    0.809    9.544    0.794    2.11    1.202    0.145    this work
AgPd7_SG225_211_1_fcc-t-1    2.832    2.829    0.94    2.78    9.667    3    -1.676    1.383    5.165    8.337    0.562    9.218    0.81    2.2    1.948    0.115    this work
AgPd7_SG225_211_1_fcc-t-2    2.832    2.831    0.94    2.78    9.667    3    -1.671    1.379    5.165    8.337    0.562    9.215    0.806    2.2    1.977    0.114    this work
AgPd7_SG225_211_1_fcc-t-3    2.832    2.851    0.923    2.607    9.667    3    -2.22    1.296    5.165    8.083    0.809    9.447    0.855    2.11    1.103    0.127    this work
AgPd7_SG225_211_1_fcc-t-4    2.832    2.833    0.94    2.78    9.667    3    -1.652    1.374    5.165    8.337    0.562    9.24    0.814    2.2    1.642    0.129    this work
AgPd7_SG225_211_1_four-fold-s-1    2.832    2.824    0.94    2.78    8.5    4    -1.557    1.298    5.165    8.337    0.562    9.239    0.752    2.2    1.688    0.14    this work
AgPd7_SG225_211_1_four-fold-s-2    2.832    2.824    0.94    2.78    8.5    4    -1.557    1.298    5.165    8.337    0.562    9.239    0.752    2.2    1.688    0.14    this work
AgPd7_SG225_211_1_four-fold-s-3    2.832    2.818    0.94    2.78    8.5    4    -1.588    1.31    5.165    8.337    0.562    9.28    0.756    2.2    1.854    0.134    this work
AgPd7_SG225_211_1_four-fold-s-4    2.832    2.818    0.94    2.78    8.5    4    -1.588    1.31    5.165    8.337    0.562    9.28    0.756    2.2    1.854    0.134    this work
