Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
FeNi_SG187_0001_1_bridge1-t    2.526    2.512    0.71    1.16    9.5    2    -1.394    1.824    4.771    7.64    1.157    8.744    1.244    1.91    0.724    0.132    this work
FeNi_SG187_0001_1_bridge2-s    2.526    2.495    0.8    1.59    7.0    2    -0.979    2.304    4.771    7.902    0.153    6.623    1.256    1.83    0.937    0.295    this work
FeNi_SG187_0001_1_bridge2-t-1    2.526    2.502    0.71    1.16    9.0    2    -1.383    1.784    4.771    7.64    1.157    8.721    1.211    1.91    0.68    0.12    this work
FeNi_SG187_0001_1_bridge2-t-2    2.526    2.525    0.8    1.59    9.0    2    -0.796    2.428    4.771    7.902    0.153    6.651    1.406    1.83    1.109    0.264    this work
FeNi_SG187_0001_1_fcc-s    2.526    2.515    0.8    1.59    8.333    3    -0.857    2.387    4.771    7.902    0.153    6.642    1.356    1.83    1.051    0.274    this work
FeNi_SG187_0001_1_fcc-t    2.526    2.509    0.71    1.16    9.333    3    -1.39    1.811    4.771    7.64    1.157    8.736    1.233    1.91    0.71    0.128    this work
FeNi_SG187_0001_1_four-fold-s    2.526    2.509    0.755    1.375    8.5    4    -1.192    2.084    4.771    7.771    0.655    7.694    1.267    1.87    0.853    0.22    this work
FeNi_SG187_0001_1_hcp-s    2.526    2.505    0.8    1.59    7.667    3    -0.918    2.345    4.771    7.902    0.153    6.632    1.306    1.83    0.994    0.285    this work
FeNi_SG187_0001_1_hcp-t    2.526    2.515    0.71    1.16    9.667    3    -1.397    1.838    4.771    7.64    1.157    8.751    1.255    1.91    0.739    0.136    this work
FeNi_SG187_0001_1_top-s    2.526    2.495    0.8    1.59    7.0    1    -0.979    2.304    4.771    7.902    0.153    6.623    1.256    1.83    0.937    0.295    this work
FeNi_SG187_0001_1_top-t    2.526    2.502    0.71    1.16    9.0    1    -1.383    1.784    4.771    7.64    1.157    8.721    1.211    1.91    0.68    0.12    this work
FeNi_SG187_0001_2_bridge1-s    2.526    2.489    0.71    1.16    8.0    2    -1.297    1.697    4.787    7.64    1.157    8.788    1.158    1.91    0.868    0.174    this work
FeNi_SG187_0001_2_bridge1-t    2.526    2.524    0.8    1.59    9.5    2    -0.707    2.502    4.787    7.902    0.153    6.652    1.374    1.83    0.894    0.227    this work
FeNi_SG187_0001_2_bridge2-s    2.526    2.477    0.71    1.16    7.0    2    -1.273    1.619    4.787    7.64    1.157    8.783    1.094    1.91    0.92    0.2    this work
FeNi_SG187_0001_2_bridge2-t-1    2.526    2.519    0.8    1.59    9.0    2    -0.7    2.459    4.787    7.902    0.153    6.65    1.329    1.83    0.889    0.266    this work
FeNi_SG187_0001_2_bridge2-t-2    2.526    2.5    0.71    1.16    9.0    2    -1.322    1.774    4.787    7.64    1.157    8.794    1.222    1.91    0.817    0.147    this work
FeNi_SG187_0001_2_fcc-s    2.526    2.492    0.71    1.16    8.333    3    -1.305    1.723    4.787    7.64    1.157    8.79    1.179    1.91    0.851    0.165    this work
FeNi_SG187_0001_2_fcc-t    2.526    2.522    0.8    1.59    9.333    3    -0.705    2.488    4.787    7.902    0.153    6.651    1.359    1.83    0.892    0.24    this work
FeNi_SG187_0001_2_four-fold-s    2.526    2.503    0.755    1.375    8.5    4    -0.993    2.082    4.787    7.771    0.655    7.718    1.257    1.87    0.909    0.195    this work
FeNi_SG187_0001_2_hcp-s    2.526    2.485    0.71    1.16    7.667    3    -1.289    1.671    4.787    7.64    1.157    8.786    1.137    1.91    0.885    0.182    this work
FeNi_SG187_0001_2_hcp-t    2.526    2.526    0.8    1.59    9.667    3    -0.709    2.516    4.787    7.902    0.153    6.652    1.389    1.83    0.895    0.215    this work
FeNi_SG187_0001_2_top-s    2.526    2.477    0.71    1.16    7.0    1    -1.273    1.619    4.787    7.64    1.157    8.783    1.094    1.91    0.92    0.2    this work
FeNi_SG187_0001_2_top-t    2.526    2.519    0.8    1.59    9.0    1    -0.7    2.459    4.787    7.902    0.153    6.65    1.329    1.83    0.889    0.266    this work
FeNi3_SG187_0001_1_bridge1-s    2.516    2.478    0.71    1.16    8.0    2    -1.225    1.661    4.972    7.64    1.157    8.842    1.211    1.91    2.071    0.184    this work
FeNi3_SG187_0001_1_bridge1-t    2.516    2.509    0.71    1.16    9.5    2    -1.37    1.825    4.972    7.64    1.157    8.728    1.237    1.91    0.808    0.129    this work
FeNi3_SG187_0001_1_bridge2-s    2.516    2.474    0.71    1.16    7.0    2    -1.149    1.585    4.972    7.64    1.157    8.856    1.125    1.91    2.101    0.219    this work
FeNi3_SG187_0001_1_bridge2-t-1    2.516    2.503    0.71    1.16    9.0    2    -1.38    1.782    4.972    7.64    1.157    8.723    1.2    1.91    0.755    0.119    this work
FeNi3_SG187_0001_1_bridge2-t-2    2.516    2.482    0.71    1.16    9.0    2    -1.301    1.736    4.972    7.64    1.157    8.829    1.297    1.91    2.042    0.149    this work
FeNi3_SG187_0001_1_fcc-s    2.516    2.48    0.71    1.16    8.333    3    -1.25    1.686    4.972    7.64    1.157    8.838    1.239    1.91    2.061    0.172    this work
FeNi3_SG187_0001_1_fcc-t    2.516    2.507    0.71    1.16    9.333    3    -1.373    1.811    4.972    7.64    1.157    8.726    1.225    1.91    0.79    0.125    this work
FeNi3_SG187_0001_1_four-fold-s    2.516    2.495    0.71    1.16    8.5    4    -1.255    1.727    4.972    7.64    1.157    8.794    1.199    1.91    1.481    0.179    this work
FeNi3_SG187_0001_1_hcp-s    2.516    2.477    0.71    1.16    7.667    3    -1.2    1.635    4.972    7.64    1.157    8.847    1.182    1.91    2.081    0.195    this work
FeNi3_SG187_0001_1_hcp-t    2.516    2.511    0.71    1.16    9.667    3    -1.367    1.84    4.972    7.64    1.157    8.729    1.249    1.91    0.826    0.132    this work
FeNi3_SG187_0001_1_top-s    2.516    2.474    0.71    1.16    7.0    1    -1.149    1.585    4.972    7.64    1.157    8.856    1.125    1.91    2.101    0.219    this work
FeNi3_SG187_0001_1_top-t    2.516    2.503    0.71    1.16    9.0    1    -1.38    1.782    4.972    7.64    1.157    8.723    1.2    1.91    0.755    0.119    this work
FeNi3_SG187_0001_2_bridge1-s    2.516    2.474    0.71    1.16    8.0    2    -1.258    1.658    4.963    7.64    1.157    8.808    1.216    1.91    2.0    0.17    this work
FeNi3_SG187_0001_2_bridge1-t    2.516    2.51    0.71    1.16    9.5    2    -1.233    1.786    4.963    7.64    1.157    8.804    1.273    1.91    1.915    0.128    this work
FeNi3_SG187_0001_2_bridge2-s    2.516    2.465    0.71    1.16    7.0    2    -1.198    1.588    4.963    7.64    1.157    8.842    1.138    1.91    1.894    0.203    this work
FeNi3_SG187_0001_2_bridge2-t-1    2.516    2.503    0.71    1.16    9.0    2    -1.218    1.73    4.963    7.64    1.157    8.812    1.24    1.91    2.137    0.14    this work
FeNi3_SG187_0001_2_bridge2-t-2    2.516    2.483    0.71    1.16    9.0    2    -1.318    1.728    4.963    7.64    1.157    8.774    1.294    1.91    2.107    0.137    this work
FeNi3_SG187_0001_2_fcc-s    2.516    2.477    0.71    1.16    8.333    3    -1.278    1.681    4.963    7.64    1.157    8.796    1.242    1.91    2.036    0.159    this work
FeNi3_SG187_0001_2_fcc-t    2.516    2.508    0.71    1.16    9.333    3    -1.228    1.767    4.963    7.64    1.157    8.806    1.262    1.91    1.989    0.132    this work
FeNi3_SG187_0001_2_four-fold-s    2.516    2.491    0.71    1.16    8.5    4    -1.223    1.715    4.963    7.64    1.157    8.819    1.222    1.91    1.793    0.16    this work
FeNi3_SG187_0001_2_hcp-s    2.516    2.471    0.71    1.16    7.667    3    -1.238    1.634    4.963    7.64    1.157    8.819    1.19    1.91    1.965    0.181    this work
FeNi3_SG187_0001_2_hcp-t    2.516    2.513    0.71    1.16    9.667    3    -1.238    1.805    4.963    7.64    1.157    8.801    1.284    1.91    1.841    0.124    this work
FeNi3_SG187_0001_2_top-s    2.516    2.465    0.71    1.16    7.0    1    -1.198    1.588    4.963    7.64    1.157    8.842    1.138    1.91    1.894    0.203    this work
FeNi3_SG187_0001_2_top-t    2.516    2.503    0.71    1.16    9.0    1    -1.218    1.73    4.963    7.64    1.157    8.812    1.24    1.91    2.137    0.14    this work
FeNi3_SG187_0001_3_bridge1-s    2.516    2.51    0.8    1.59    8.0    2    -0.891    2.371    4.784    7.902    0.153    6.601    1.336    1.83    1.056    0.288    this work
FeNi3_SG187_0001_3_bridge1-t    2.516    2.503    0.71    1.16    9.5    2    -1.275    1.816    4.784    7.64    1.157    8.62    1.278    1.91    1.798    0.11    this work
FeNi3_SG187_0001_3_bridge2-s    2.516    2.498    0.8    1.59    7.0    2    -0.99    2.308    4.784    7.902    0.153    6.592    1.258    1.83    1.104    0.292    this work
FeNi3_SG187_0001_3_bridge2-t-1    2.516    2.497    0.71    1.16    9.0    2    -1.237    1.766    4.784    7.64    1.157    8.602    1.241    1.91    2.061    0.114    this work
FeNi3_SG187_0001_3_bridge2-t-2    2.516    2.522    0.8    1.59    9.0    2    -0.792    2.433    4.784    7.902    0.153    6.611    1.415    1.83    1.008    0.284    this work
FeNi3_SG187_0001_3_fcc-s    2.516    2.514    0.8    1.59    8.333    3    -0.858    2.391    4.784    7.902    0.153    6.605    1.362    1.83    1.04    0.286    this work
FeNi3_SG187_0001_3_fcc-t    2.516    2.501    0.71    1.16    9.333    3    -1.263    1.799    4.784    7.64    1.157    8.614    1.266    1.91    1.886    0.112    this work
FeNi3_SG187_0001_3_four-fold-s    2.516    2.504    0.755    1.375    8.5    4    -1.152    2.087    4.784    7.771    0.655    7.614    1.287    1.87    1.319    0.199    this work
FeNi3_SG187_0001_3_hcp-s    2.516    2.506    0.8    1.59    7.667    3    -0.924    2.35    4.784    7.902    0.153    6.598    1.31    1.83    1.072    0.289    this work
FeNi3_SG187_0001_3_hcp-t    2.516    2.506    0.71    1.16    9.667    3    -1.288    1.832    4.784    7.64    1.157    8.625    1.29    1.91    1.71    0.109    this work
FeNi3_SG187_0001_3_top-s    2.516    2.498    0.8    1.59    7.0    1    -0.99    2.308    4.784    7.902    0.153    6.592    1.258    1.83    1.104    0.292    this work
FeNi3_SG187_0001_3_top-t    2.516    2.497    0.71    1.16    9.0    1    -1.237    1.766    4.784    7.64    1.157    8.602    1.241    1.91    2.061    0.114    this work
FeNi3_SG187_0001_4_bridge1-s    2.516    2.488    0.71    1.16    8.0    2    -1.306    1.706    4.797    7.64    1.157    8.735    1.158    1.91    0.853    0.174    this work
FeNi3_SG187_0001_4_bridge1-t    2.516    2.513    0.8    1.59    9.5    2    -0.733    2.536    4.797    7.902    0.153    6.628    1.383    1.83    0.894    0.216    this work
FeNi3_SG187_0001_4_bridge2-s    2.516    2.476    0.71    1.16    7.0    2    -1.28    1.631    4.797    7.64    1.157    8.744    1.094    1.91    0.917    0.201    this work
FeNi3_SG187_0001_4_bridge2-t-1    2.516    2.508    0.8    1.59    9.0    2    -0.721    2.505    4.797    7.902    0.153    6.625    1.341    1.83    0.917    0.252    this work
FeNi3_SG187_0001_4_bridge2-t-2    2.516    2.499    0.71    1.16    9.0    2    -1.332    1.78    4.797    7.64    1.157    8.727    1.221    1.91    0.788    0.148    this work
FeNi3_SG187_0001_4_fcc-s    2.516    2.491    0.71    1.16    8.333    3    -1.314    1.73    4.797    7.64    1.157    8.732    1.179    1.91    0.831    0.166    this work
FeNi3_SG187_0001_4_fcc-t    2.516    2.511    0.8    1.59    9.333    3    -0.729    2.526    4.797    7.902    0.153    6.627    1.369    1.83    0.902    0.228    this work
FeNi3_SG187_0001_4_four-fold-s    2.516    2.497    0.755    1.375    8.5    4    -1.013    2.099    4.797    7.771    0.655    7.688    1.259    1.87    0.894    0.191    this work
FeNi3_SG187_0001_4_hcp-s    2.516    2.484    0.71    1.16    7.667    3    -1.297    1.681    4.797    7.64    1.157    8.738    1.136    1.91    0.874    0.183    this work
FeNi3_SG187_0001_4_hcp-t    2.516    2.514    0.8    1.59    9.667    3    -0.737    2.546    4.797    7.902    0.153    6.629    1.397    1.83    0.887    0.205    this work
FeNi3_SG187_0001_4_top-s    2.516    2.476    0.71    1.16    7.0    1    -1.28    1.631    4.797    7.64    1.157    8.744    1.094    1.91    0.917    0.201    this work
FeNi3_SG187_0001_4_top-t    2.516    2.508    0.8    1.59    9.0    1    -0.721    2.505    4.797    7.902    0.153    6.625    1.341    1.83    0.917    0.252    this work
FePd3_SG187_0001_1_bridge1-s    2.775    2.75    0.94    2.78    8.0    2    -2.075    1.422    4.787    8.337    0.562    9.226    0.771    2.2    0.327    0.15    this work
FePd3_SG187_0001_1_bridge1-t    2.775    2.725    0.8    1.59    9.5    2    -1.001    2.261    4.787    7.902    0.153    6.52    1.349    1.83    1.112    0.248    this work
FePd3_SG187_0001_1_bridge2-s    2.775    2.725    0.94    2.78    7.0    2    -2.088    1.391    4.787    8.337    0.562    9.228    0.754    2.2    0.327    0.167    this work
FePd3_SG187_0001_1_bridge2-t-1    2.775    2.705    0.8    1.59    9.0    2    -0.952    2.252    4.787    7.902    0.153    6.555    1.33    1.83    1.039    0.276    this work
FePd3_SG187_0001_1_bridge2-t-2    2.775    2.776    0.94    2.78    9.0    2    -2.062    1.454    4.787    8.337    0.562    9.224    0.789    2.2    0.327    0.133    this work
FePd3_SG187_0001_1_fcc-s    2.775    2.759    0.94    2.78    8.333    3    -2.071    1.433    4.787    8.337    0.562    9.226    0.777    2.2    0.327    0.144    this work
FePd3_SG187_0001_1_fcc-t    2.775    2.718    0.8    1.59    9.333    3    -0.985    2.258    4.787    7.902    0.153    6.531    1.342    1.83    1.087    0.257    this work
FePd3_SG187_0001_1_four-fold-s    2.775    2.735    0.87    2.185    8.5    4    -1.569    1.831    4.787    8.12    0.358    7.856    1.061    2.015    0.756    0.193    this work
FePd3_SG187_0001_1_hcp-s    2.775    2.742    0.94    2.78    7.667    3    -2.08    1.412    4.787    8.337    0.562    9.227    0.766    2.2    0.327    0.155    this work
FePd3_SG187_0001_1_hcp-t    2.775    2.732    0.8    1.59    9.667    3    -1.017    2.264    4.787    7.902    0.153    6.508    1.355    1.83    1.136    0.239    this work
FePd3_SG187_0001_1_top-s    2.775    2.725    0.94    2.78    7.0    1    -2.088    1.391    4.787    8.337    0.562    9.228    0.754    2.2    0.327    0.167    this work
FePd3_SG187_0001_1_top-t    2.775    2.705    0.8    1.59    9.0    1    -0.952    2.252    4.787    7.902    0.153    6.555    1.33    1.83    1.039    0.276    this work
FePd3_SG187_0001_2_bridge1-s    2.775    2.8    0.94    2.78    8.0    2    -1.508    1.314    5.227    8.337    0.562    9.276    0.732    2.2    1.222    0.144    this work
FePd3_SG187_0001_2_bridge1-t    2.775    2.745    0.94    2.78    9.5    2    -2.18    1.561    5.227    8.337    0.562    9.154    0.812    2.2    0.451    0.127    this work
FePd3_SG187_0001_2_bridge2-s    2.775    2.799    0.94    2.78    7.0    2    -1.434    1.232    5.227    8.337    0.562    9.347    0.671    2.2    1.196    0.164    this work
FePd3_SG187_0001_2_bridge2-t-1    2.775    2.737    0.94    2.78    9.0    2    -2.171    1.536    5.227    8.337    0.562    9.16    0.789    2.2    0.437    0.121    this work
FePd3_SG187_0001_2_bridge2-t-2    2.775    2.802    0.94    2.78    9.0    2    -1.583    1.396    5.227    8.337    0.562    9.204    0.793    2.2    1.249    0.125    this work
FePd3_SG187_0001_2_fcc-s    2.775    2.801    0.94    2.78    8.333    3    -1.533    1.342    5.227    8.337    0.562    9.252    0.752    2.2    1.231    0.138    this work
FePd3_SG187_0001_2_fcc-t    2.775    2.743    0.94    2.78    9.333    3    -2.177    1.552    5.227    8.337    0.562    9.156    0.804    2.2    0.446    0.125    this work
FePd3_SG187_0001_2_four-fold-s    2.775    2.776    0.94    2.78    8.5    4    -1.811    1.409    5.227    8.337    0.562    9.248    0.753    2.2    0.83    0.148    this work
FePd3_SG187_0001_2_hcp-s    2.775    2.8    0.94    2.78    7.667    3    -1.484    1.287    5.227    8.337    0.562    9.299    0.711    2.2    1.214    0.151    this work
FePd3_SG187_0001_2_hcp-t    2.775    2.748    0.94    2.78    9.667    3    -2.183    1.569    5.227    8.337    0.562    9.152    0.82    2.2    0.456    0.128    this work
FePd3_SG187_0001_2_top-s    2.775    2.799    0.94    2.78    7.0    1    -1.434    1.232    5.227    8.337    0.562    9.347    0.671    2.2    1.196    0.164    this work
FePd3_SG187_0001_2_top-t    2.775    2.737    0.94    2.78    9.0    1    -2.171    1.536    5.227    8.337    0.562    9.16    0.789    2.2    0.437    0.121    this work
FePd3_SG187_0001_3_bridge1-s    2.775    2.792    0.94    2.78    8.0    2    -1.566    1.322    5.241    8.337    0.562    9.34    0.734    2.2    2.004    0.143    this work
FePd3_SG187_0001_3_bridge1-t    2.775    2.815    0.94    2.78    9.5    2    -1.676    1.423    5.241    8.337    0.562    9.235    0.8    2.2    1.305    0.121    this work
FePd3_SG187_0001_3_bridge2-s    2.775    2.784    0.94    2.78    7.0    2    -1.503    1.249    5.241    8.337    0.562    9.397    0.682    2.2    1.974    0.143    this work
FePd3_SG187_0001_3_bridge2-t-1    2.775    2.807    0.94    2.78    9.0    2    -1.62    1.393    5.241    8.337    0.562    9.226    0.773    2.2    1.186    0.125    this work
FePd3_SG187_0001_3_bridge2-t-2    2.775    2.8    0.94    2.78    9.0    2    -1.629    1.394    5.241    8.337    0.562    9.282    0.785    2.2    2.034    0.143    this work
FePd3_SG187_0001_3_fcc-s    2.775    2.795    0.94    2.78    8.333    3    -1.587    1.346    5.241    8.337    0.562    9.321    0.751    2.2    2.014    0.143    this work
FePd3_SG187_0001_3_fcc-t    2.775    2.812    0.94    2.78    9.333    3    -1.657    1.413    5.241    8.337    0.562    9.232    0.791    2.2    1.266    0.122    this work
FePd3_SG187_0001_3_four-fold-s    2.775    2.803    0.94    2.78    8.5    4    -1.618    1.351    5.241    8.337    0.562    9.321    0.754    2.2    1.699    0.13    this work
FePd3_SG187_0001_3_hcp-s    2.775    2.789    0.94    2.78    7.667    3    -1.545    1.298    5.241    8.337    0.562    9.359    0.716    2.2    1.994    0.143    this work
FePd3_SG187_0001_3_hcp-t    2.775    2.818    0.94    2.78    9.667    3    -1.695    1.433    5.241    8.337    0.562    9.238    0.809    2.2    1.345    0.12    this work
FePd3_SG187_0001_3_top-s    2.775    2.784    0.94    2.78    7.0    1    -1.503    1.249    5.241    8.337    0.562    9.397    0.682    2.2    1.974    0.143    this work
FePd3_SG187_0001_3_top-t    2.775    2.807    0.94    2.78    9.0    1    -1.62    1.393    5.241    8.337    0.562    9.226    0.773    2.2    1.186    0.125    this work
FePd3_SG187_0001_4_bridge1-s    2.775    2.637    0.8    1.59    8.0    2    -1.018    2.235    4.759    7.902    0.153    6.514    1.329    1.83    1.196    0.276    this work
FePd3_SG187_0001_4_bridge1-t    2.775    2.815    0.94    2.78    9.5    2    -1.703    1.426    4.759    8.337    0.562    9.266    0.806    2.2    1.369    0.118    this work
FePd3_SG187_0001_4_bridge2-s    2.775    2.64    0.8    1.59    7.0    2    -1.175    2.159    4.759    7.902    0.153    6.485    1.237    1.83    1.331    0.273    this work
FePd3_SG187_0001_4_bridge2-t-1    2.775    2.803    0.94    2.78    9.0    2    -1.635    1.393    4.759    8.337    0.562    9.261    0.782    2.2    1.686    0.122    this work
FePd3_SG187_0001_4_bridge2-t-2    2.775    2.634    0.8    1.59    9.0    2    -0.861    2.311    4.759    7.902    0.153    6.543    1.42    1.83    1.061    0.279    this work
FePd3_SG187_0001_4_fcc-s    2.775    2.636    0.8    1.59    8.333    3    -0.966    2.26    4.759    7.902    0.153    6.524    1.359    1.83    1.151    0.277    this work
FePd3_SG187_0001_4_fcc-t    2.775    2.811    0.94    2.78    9.333    3    -1.68    1.415    4.759    8.337    0.562    9.264    0.798    2.2    1.475    0.119    this work
FePd3_SG187_0001_4_four-fold-s    2.775    2.733    0.87    2.185    8.5    4    -1.473    1.809    4.759    8.12    0.358    7.878    1.034    2.015    1.191    0.193    this work
FePd3_SG187_0001_4_hcp-s    2.775    2.638    0.8    1.59    7.667    3    -1.07    2.209    4.759    7.902    0.153    6.505    1.298    1.83    1.241    0.275    this work
FePd3_SG187_0001_4_hcp-t    2.775    2.819    0.94    2.78    9.667    3    -1.726    1.437    4.759    8.337    0.562    9.267    0.814    2.2    1.263    0.116    this work
FePd3_SG187_0001_4_top-s    2.775    2.64    0.8    1.59    7.0    1    -1.175    2.159    4.759    7.902    0.153    6.485    1.237    1.83    1.331    0.273    this work
FePd3_SG187_0001_4_top-t    2.775    2.803    0.94    2.78    9.0    1    -1.635    1.393    4.759    8.337    0.562    9.261    0.782    2.2    1.686    0.122    this work
FePt3_SG187_0001_1_bridge1-s    2.793    2.806    1.04    3.9    8.0    2    -1.849    2.024    5.783    8.959    2.125    8.896    1.153    2.28    1.202    0.152    this work
FePt3_SG187_0001_1_bridge1-t    2.793    2.748    1.04    3.9    9.5    2    -2.388    2.305    5.783    8.959    2.125    8.823    1.199    2.28    0.641    0.114    this work
FePt3_SG187_0001_1_bridge2-s    2.793    2.796    1.04    3.9    7.0    2    -1.762    1.908    5.783    8.959    2.125    8.947    1.093    2.28    1.168    0.2    this work
FePt3_SG187_0001_1_bridge2-t-1    2.793    2.733    1.04    3.9    9.0    2    -2.387    2.274    5.783    8.959    2.125    8.814    1.176    2.28    0.624    0.085    this work
FePt3_SG187_0001_1_bridge2-t-2    2.793    2.817    1.04    3.9    9.0    2    -1.936    2.14    5.783    8.959    2.125    8.845    1.212    2.28    1.237    0.104    this work
FePt3_SG187_0001_1_fcc-s    2.793    2.81    1.04    3.9    8.333    3    -1.878    2.063    5.783    8.959    2.125    8.879    1.173    2.28    1.214    0.136    this work
FePt3_SG187_0001_1_fcc-t    2.793    2.743    1.04    3.9    9.333    3    -2.387    2.295    5.783    8.959    2.125    8.82    1.192    2.28    0.635    0.104    this work
FePt3_SG187_0001_1_four-fold-s    2.793    2.78    1.04    3.9    8.5    4    -2.076    2.121    5.783    8.959    2.125    8.89    1.158    2.28    0.913    0.171    this work
FePt3_SG187_0001_1_hcp-s    2.793    2.803    1.04    3.9    7.667    3    -1.82    1.985    5.783    8.959    2.125    8.913    1.133    2.28    1.191    0.168    this work
FePt3_SG187_0001_1_hcp-t    2.793    2.753    1.04    3.9    9.667    3    -2.388    2.315    5.783    8.959    2.125    8.826    1.207    2.28    0.646    0.123    this work
FePt3_SG187_0001_1_top-s    2.793    2.796    1.04    3.9    7.0    1    -1.762    1.908    5.783    8.959    2.125    8.947    1.093    2.28    1.168    0.2    this work
FePt3_SG187_0001_1_top-t    2.793    2.733    1.04    3.9    9.0    1    -2.387    2.274    5.783    8.959    2.125    8.814    1.176    2.28    0.624    0.085    this work
FePt3_SG187_0001_2_bridge1-s    2.793    2.787    1.04    3.9    8.0    2    -1.958    2.042    5.798    8.959    2.125    8.79    1.156    2.28    1.699    0.128    this work
FePt3_SG187_0001_2_bridge1-t    2.793    2.836    1.04    3.9    9.5    2    -2.016    2.134    5.798    8.959    2.125    8.778    1.225    2.28    1.097    0.103    this work
FePt3_SG187_0001_2_bridge2-s    2.793    2.762    1.04    3.9    7.0    2    -1.928    1.967    5.798    8.959    2.125    8.823    1.109    2.28    1.805    0.141    this work
FePt3_SG187_0001_2_bridge2-t-1    2.793    2.818    1.04    3.9    9.0    2    -1.963    2.104    5.798    8.959    2.125    8.793    1.206    2.28    1.001    0.107    this work
FePt3_SG187_0001_2_bridge2-t-2    2.793    2.812    1.04    3.9    9.0    2    -1.989    2.116    5.798    8.959    2.125    8.758    1.204    2.28    1.593    0.115    this work
FePt3_SG187_0001_2_fcc-s    2.793    2.796    1.04    3.9    8.333    3    -1.969    2.066    5.798    8.959    2.125    8.78    1.172    2.28    1.664    0.124    this work
FePt3_SG187_0001_2_fcc-t    2.793    2.83    1.04    3.9    9.333    3    -1.999    2.124    5.798    8.959    2.125    8.783    1.219    2.28    1.065    0.104    this work
FePt3_SG187_0001_2_four-fold-s    2.793    2.809    1.04    3.9    8.5    4    -1.999    2.066    5.798    8.959    2.125    8.793    1.176    2.28    1.499    0.12    this work
FePt3_SG187_0001_2_hcp-s    2.793    2.779    1.04    3.9    7.667    3    -1.948    2.017    5.798    8.959    2.125    8.801    1.14    2.28    1.735    0.132    this work
FePt3_SG187_0001_2_hcp-t    2.793    2.843    1.04    3.9    9.667    3    -2.034    2.145    5.798    8.959    2.125    8.773    1.231    2.28    1.129    0.102    this work
FePt3_SG187_0001_2_top-s    2.793    2.762    1.04    3.9    7.0    1    -1.928    1.967    5.798    8.959    2.125    8.823    1.109    2.28    1.805    0.141    this work
FePt3_SG187_0001_2_top-t    2.793    2.818    1.04    3.9    9.0    1    -1.963    2.104    5.798    8.959    2.125    8.793    1.206    2.28    1.001    0.107    this work
FePt3_SG187_0001_3_bridge1-s    2.793    2.653    0.8    1.59    8.0    2    -1.125    2.281    5.143    7.902    0.153    6.489    1.372    1.83    0.943    0.282    this work
FePt3_SG187_0001_3_bridge1-t    2.793    2.824    1.04    3.9    9.5    2    -2.06    2.132    5.143    8.959    2.125    8.812    1.221    2.28    1.242    0.118    this work
FePt3_SG187_0001_3_bridge2-s    2.793    2.653    0.8    1.59    7.0    2    -1.277    2.22    5.143    7.902    0.153    6.468    1.294    1.83    1.006    0.267    this work
FePt3_SG187_0001_3_bridge2-t-1    2.793    2.807    1.04    3.9    9.0    2    -2.044    2.108    5.143    8.959    2.125    8.797    1.213    2.28    1.469    0.122    this work
FePt3_SG187_0001_3_bridge2-t-2    2.793    2.654    0.8    1.59    9.0    2    -0.973    2.342    5.143    7.902    0.153    6.51    1.451    1.83    0.879    0.297    this work
FePt3_SG187_0001_3_fcc-s    2.793    2.654    0.8    1.59    8.333    3    -1.074    2.302    5.143    7.902    0.153    6.496    1.399    1.83    0.921    0.287    this work
FePt3_SG187_0001_3_fcc-t    2.793    2.818    1.04    3.9    9.333    3    -2.055    2.124    5.143    8.959    2.125    8.807    1.218    2.28    1.318    0.12    this work
FePt3_SG187_0001_3_four-fold-s    2.793    2.748    0.92    2.745    8.5    4    -1.676    2.188    5.143    8.431    1.139    7.648    1.261    2.055    1.011    0.191    this work
FePt3_SG187_0001_3_hcp-s    2.793    2.653    0.8    1.59    7.667    3    -1.176    2.261    5.143    7.902    0.153    6.482    1.346    1.83    0.964    0.277    this work
FePt3_SG187_0001_3_hcp-t    2.793    2.83    1.04    3.9    9.667    3    -2.065    2.14    5.143    8.959    2.125    8.817    1.224    2.28    1.167    0.117    this work
FePt3_SG187_0001_3_top-s    2.793    2.653    0.8    1.59    7.0    1    -1.277    2.22    5.143    7.902    0.153    6.468    1.294    1.83    1.006    0.267    this work
FePt3_SG187_0001_3_top-t    2.793    2.807    1.04    3.9    9.0    1    -2.044    2.108    5.143    8.959    2.125    8.797    1.213    2.28    1.469    0.122    this work
FePt3_SG187_0001_4_bridge1-s    2.793    2.735    1.04    3.9    8.0    2    -2.162    2.101    5.142    8.959    2.125    8.932    1.126    2.28    0.463    0.133    this work
FePt3_SG187_0001_4_bridge1-t    2.793    2.727    0.8    1.59    9.5    2    -1.012    2.34    5.142    7.902    0.153    6.533    1.406    1.83    1.112    0.219    this work
FePt3_SG187_0001_4_bridge2-s    2.793    2.707    1.04    3.9    7.0    2    -2.122    2.036    5.142    8.959    2.125    8.926    1.106    2.28    0.433    0.148    this work
FePt3_SG187_0001_4_bridge2-t-1    2.793    2.709    0.8    1.59    9.0    2    -0.976    2.323    5.142    7.902    0.153    6.567    1.371    1.83    1.122    0.267    this work
