Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
C_IrRu_211_hcp-s-1    1.458    2.737    2.694    1.07    4.257    7.667    3    -1.614    2.327    5.53    8.534    1.391    7.472    1.087    2.2    1.643    0.272    10.1021/acscatal.8b04478
C_IrRu_211_hcp-s-2    1.521    2.737    2.695    1.06    4.063    7.667    3    -1.445    2.265    5.53    7.948    1.219    7.272    0.991    2.2    1.793    0.256    10.1021/acscatal.8b04478
C_IrRu_211_hcp-t-1    1.896    2.737    2.716    1.06    4.063    9.333    3    -1.603    2.444    5.53    7.948    1.219    7.23    1.072    2.2    1.521    0.133    10.1021/acscatal.8b04478
C_IrRu_211_hcp-t-2    1.879    2.737    2.713    1.07    4.257    9.333    3    -1.785    2.501    5.53    8.534    1.391    7.419    1.163    2.2    1.377    0.143    10.1021/acscatal.8b04478
C_Ni_211_fcc-s    2.21    2.502    2.476    0.71    1.16    8.333    3    -1.236    1.755    4.945    7.64    1.157    8.821    1.231    1.91    1.903    0.169    10.1021/acscatal.8b04478
C_Ni_211_four-fold-s    1.157    2.502    2.484    0.71    1.16    8.5    4    -1.225    1.768    4.945    7.64    1.157    8.817    1.232    1.91    1.796    0.169    10.1021/acscatal.8b04478
C_Ni_211_hcp-s    1.969    2.502    2.47    0.71    1.16    7.667    3    -1.2    1.701    4.945    7.64    1.157    8.842    1.186    1.91    1.883    0.194    10.1021/acscatal.8b04478
C_Ni_211_hcp-t    2.239    2.502    2.489    0.71    1.16    9.333    3    -1.28    1.837    4.945    7.64    1.157    8.791    1.292    1.91    1.847    0.136    10.1021/acscatal.8b04478
C_Pd_211_fcc-s    2.078    2.819    2.803    0.94    2.78    8.333    3    -1.59    1.329    5.21    8.337    0.562    9.303    0.743    2.2    2.269    0.133    10.1021/acscatal.8b04478
C_Pd_211_fcc-t    2.295    2.819    2.82    0.94    2.78    9.667    3    -1.715    1.405    5.21    8.337    0.562    9.265    0.804    2.2    2.178    0.115    10.1021/acscatal.8b04478
C_Pd_211_four-fold-s    1.393    2.819    2.808    0.94    2.78    8.5    4    -1.628    1.333    5.21    8.337    0.562    9.293    0.751    2.2    2.125    0.13    10.1021/acscatal.8b04478
C_Pd_211_hcp-s    2.056    2.819    2.796    0.94    2.78    7.667    3    -1.545    1.287    5.21    8.337    0.562    9.319    0.712    2.2    2.211    0.141    10.1021/acscatal.8b04478
C_Pd_211_hcp-t    2.188    2.819    2.814    0.94    2.78    9.333    3    -1.677    1.386    5.21    8.337    0.562    9.276    0.789    2.2    2.252    0.12    10.1021/acscatal.8b04478
C_Pd@Ir_211_bridge2-s-1    2.419    2.753    2.742    1.01    3.615    7.0    2    -1.915    2.013    5.462    8.729    1.063    8.502    1.017    2.2    1.179    0.218    10.1021/acscatal.8b04478
C_Pd@Ir_211_bridge2-s-2    1.987    2.753    2.692    1.08    4.45    7.0    2    -1.717    2.428    5.462    9.121    1.564    7.798    1.203    2.2    1.659    0.262    10.1021/acscatal.8b04478
C_Pd@Ir_211_fcc-s-1    2.308    2.753    2.747    1.033    3.893    8.333    3    -1.997    2.273    5.462    8.86    1.23    8.196    1.139    2.2    1.148    0.152    10.1021/acscatal.8b04478
