Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
CO_AgPd_211_top-t-2    2.399    2.883    2.894    0.89    2.26    9.0    1    -3.508    1.097    4.895    7.576    1.304    9.85    0.977    1.93    0.049    0.168    10.1021/acscatal.8b04478
CO_Au_211_bridge1-s    2.535    2.99    2.959    1.01    3.35    8.0    2    -3.168    1.377    5.28    9.226    2.309    9.734    1.24    2.54    0.088    0.247    10.1021/acscatal.8b04478
CO_Au_211_bridge1-t    2.735    2.99    2.99    1.01    3.35    9.5    2    -3.264    1.449    5.28    9.226    2.309    9.72    1.297    2.54    0.098    0.223    10.1021/acscatal.8b04478
CO_Au_211_bridge2-s    2.253    2.99    2.936    1.01    3.35    7.0    2    -3.127    1.323    5.28    9.226    2.309    9.732    1.2    2.54    0.079    0.26    10.1021/acscatal.8b04478
CO_Au_211_bridge2-t    2.576    2.99    2.982    1.01    3.35    9.0    2    -3.21    1.432    5.28    9.226    2.309    9.733    1.281    2.54    0.097    0.233    10.1021/acscatal.8b04478
CO_Au_211_fcc-s    2.633    2.99    2.967    1.01    3.35    8.333    3    -3.182    1.396    5.28    9.226    2.309    9.734    1.254    2.54    0.091    0.242    10.1021/acscatal.8b04478
CO_Au_211_top-s    2.2    2.99    2.936    1.01    3.35    7.0    1    -3.127    1.323    5.28    9.226    2.309    9.736    1.201    2.54    0.079    0.26    10.1021/acscatal.8b04478
CO_Au_211_top-t    2.451    2.99    2.982    1.01    3.35    9.0    1    -3.21    1.433    5.28    9.226    2.309    9.726    1.281    2.54    0.097    0.233    10.1021/acscatal.8b04478
CO_Au@Ni_211_bridge2-s-2    0.771    2.502    2.465    0.71    1.16    7.0    2    -1.149    1.674    5.04    7.64    1.157    8.768    1.173    1.91    2.065    0.214    10.1021/acscatal.8b04478
CO_Au@Ni_211_bridge2-t-2    0.978    2.502    2.492    0.71    1.16    9.0    2    -1.251    1.808    5.04    7.64    1.157    8.705    1.267    1.91    1.952    0.144    10.1021/acscatal.8b04478
CO_Au@Ni_211_fcc-s-2    0.907    2.502    2.483    0.71    1.16    8.333    3    -1.218    1.763    5.04    7.64    1.157    8.723    1.235    1.91    1.988    0.167    10.1021/acscatal.8b04478
CO_Au@Ni_211_fcc-t-2    1.115    2.502    2.491    0.71    1.16    9.667    3    -1.294    1.878    5.04    7.64    1.157    8.711    1.304    1.91    1.864    0.124    10.1021/acscatal.8b04478
CO_Au@Ni_211_four-fold-s-2    1.116    2.502    2.482    0.71    1.16    8.5    4    -1.225    1.788    5.04    7.64    1.157    8.741    1.246    1.91    1.953    0.164    10.1021/acscatal.8b04478
CO_Au@Ni_211_hcp-s-2    0.804    2.502    2.468    0.71    1.16    7.667    3    -1.193    1.726    5.04    7.64    1.157    8.746    1.206    1.91    2.012    0.19    10.1021/acscatal.8b04478
CO_Au@Ni_211_hcp-t-1    1.1    2.502    2.511    0.71    1.16    9.333    3    -1.235    1.826    5.04    7.64    1.157    8.689    1.283    1.91    1.907    0.137    10.1021/acscatal.8b04478
CO_Au@Ni_211_hcp-t-2    0.926    2.502    2.495    0.71    1.16    9.333    3    -1.268    1.839    5.04    7.64    1.157    8.709    1.284    1.91    1.915    0.134    10.1021/acscatal.8b04478
CO_Au@Ni_211_top-s-1    2.146    2.502    2.679    1.01    3.35    7.0    1    -3.455    1.525    5.04    9.226    2.309    9.565    1.159    2.54    0.197    0.21    this work
CO_Au@Ni_211_top-s-2    0.985    2.502    2.465    0.71    1.16    7.0    1    -1.151    1.674    5.04    7.64    1.157    8.759    1.173    1.91    2.059    0.214    10.1021/acscatal.8b04478
CO_Au@Ni_211_top-t-1    1.221    2.502    2.511    0.71    1.16    9.0    1    -1.219    1.787    5.04    7.64    1.157    8.693    1.261    1.91    2.003    0.145    10.1021/acscatal.8b04478
CO_Au@Ni_211_top-t-2    1.156    2.502    2.473    0.71    1.16    9.0    1    -1.281    1.83    5.04    7.64    1.157    8.704    1.273    1.91    1.907    0.143    10.1021/acscatal.8b04478
CO_Co_0001_bridge1-s    1.155    2.504    2.47    0.76    1.34    8.0    2    -1.201    1.953    4.819    7.881    0.662    7.686    1.205    1.88    1.106    0.218    this work
CO_Co_0001_bridge2-s    1.059    2.504    2.464    0.76    1.34    7.0    2    -1.211    1.88    4.819    7.881    0.662    7.65    1.134    1.88    1.116    0.239    this work
CO_Co_0001_bridge2-t-2    1.133    2.504    2.476    0.76    1.34    9.0    2    -1.192    2.026    4.819    7.881    0.662    7.718    1.276    1.88    1.096    0.198    this work
CO_Co_0001_bridge3-s    1.253    2.504    2.484    0.76    1.34    8.5    2    -1.223    1.991    4.819    7.881    0.662    7.686    1.217    1.88    1.065    0.189    this work
CO_Co_0001_fcc-s    1.09    2.504    2.472    0.76    1.34    8.333    3    -1.198    1.977    4.819    7.881    0.662    7.696    1.229    1.88    1.103    0.212    this work
CO_Co_0001_fcc-t    1.167    2.504    2.492    0.76    1.34    9.333    3    -1.211    2.051    4.819    7.881    0.662    7.73    1.25    1.88    1.029    0.156    this work
CO_Co_0001_four-fold-s    1.293    2.504    2.484    0.76    1.34    8.5    4    -1.223    1.992    4.819    7.881    0.662    7.68    1.217    1.88    1.065    0.189    this work
CO_Co_0001_hcp-s    1.051    2.504    2.468    0.76    1.34    7.667    3    -1.205    1.929    4.819    7.881    0.662    7.672    1.181    1.88    1.109    0.225    this work
CO_Co_0001_hcp-t    1.213    2.504    2.499    0.76    1.34    9.667    3    -1.223    2.078    4.819    7.881    0.662    7.719    1.275    1.88    1.022    0.147    this work
CO_Co_0001_top-s    1.026    2.504    2.464    0.76    1.34    7.0    1    -1.211    1.88    4.819    7.881    0.662    7.654    1.133    1.88    1.116    0.239    this work
CO_Co_0001_top-t    1.105    2.504    2.486    0.76    1.34    9.0    1    -1.198    2.025    4.819    7.881    0.662    7.736    1.225    1.88    1.037    0.164    this work
CO_Co_211_bridge1-s    1.19    2.509    2.475    0.76    1.34    8.0    2    -1.25    1.969    4.828    7.881    0.662    7.675    1.2    1.88    1.089    0.199    this work
CO_Co_211_bridge2-s    1.066    2.509    2.468    0.76    1.34    7.0    2    -1.256    1.87    4.828    7.881    0.662    7.687    1.143    1.88    1.225    0.242    this work
CO_Co_211_bridge2-t    1.217    2.509    2.483    0.76    1.34    9.0    2    -1.241    2.068    4.828    7.881    0.662    7.654    1.258    1.88    0.953    0.155    this work
CO_Co_211_bridge3-s    1.259    2.509    2.488    0.76    1.34    8.5    2    -1.274    1.99    4.828    7.881    0.662    7.677    1.227    1.88    1.118    0.188    this work
CO_Co_211_fcc-s    1.167    2.509    2.478    0.76    1.34    8.333    3    -1.245    2.002    4.828    7.881    0.662    7.662    1.219    1.88    1.043    0.184    this work
CO_Co_211_fcc-t    1.306    2.509    2.5    0.76    1.34    9.667    3    -1.272    2.096    4.828    7.881    0.662    7.656    1.293    1.88    0.99    0.14    this work
CO_Co_211_four-fold-s    1.336    2.509    2.488    0.76    1.34    8.5    4    -1.272    1.99    4.828    7.881    0.662    7.672    1.227    1.88    1.117    0.188    this work
CO_Co_211_hcp-s    1.061    2.509    2.473    0.76    1.34    7.667    3    -1.251    1.936    4.828    7.881    0.662    7.677    1.181    1.88    1.134    0.213    this work
CO_Co_211_hcp-t    1.172    2.509    2.492    0.76    1.34    9.333    3    -1.256    2.082    4.828    7.881    0.662    7.653    1.276    1.88    0.971    0.148    this work
CO_Co_211_top-s    1.007    2.509    2.468    0.76    1.34    7.0    1    -1.254    1.871    4.828    7.881    0.662    7.68    1.142    1.88    1.224    0.242    this work
CO_Co_211_top-t    1.167    2.509    2.483    0.76    1.34    9.0    1    -1.239    2.068    4.828    7.881    0.662    7.651    1.258    1.88    0.953    0.155    this work
CO_Cu_211_bridge1-s    2.058    2.603    2.569    0.67    1.0    8.0    2    -2.337    1.036    4.719    7.726    1.236    9.703    1.184    1.9    0.098    0.252    10.1021/acscatal.8b04478
CO_Cu_211_bridge2-s    1.856    2.603    2.556    0.67    1.0    7.0    2    -2.282    0.955    4.719    7.726    1.236    9.722    1.129    1.9    0.09    0.264    10.1021/acscatal.8b04478
CO_Cu_211_bridge2-t    2.086    2.603    2.581    0.67    1.0    9.0    2    -2.391    1.117    4.719    7.726    1.236    9.68    1.239    1.9    0.105    0.239    10.1021/acscatal.8b04478
CO_Cu_211_bridge3-s    2.149    2.603    2.577    0.67    1.0    8.5    2    -2.372    1.044    4.719    7.726    1.236    9.719    1.209    1.9    0.097    0.244    10.1021/acscatal.8b04478
CO_Cu_211_fcc-s    2.036    2.603    2.573    0.67    1.0    8.333    3    -2.355    1.063    4.719    7.726    1.236    9.692    1.202    1.9    0.1    0.247    10.1021/acscatal.8b04478
CO_Cu_211_fcc-t    2.27    2.603    2.593    0.67    1.0    9.667    3    -2.439    1.127    4.719    7.726    1.236    9.697    1.272    1.9    0.104    0.229    10.1021/acscatal.8b04478
CO_Cu_211_top-s    1.783    2.603    2.556    0.67    1.0    7.0    1    -2.283    0.955    4.719    7.726    1.236    9.717    1.129    1.9    0.09    0.264    10.1021/acscatal.8b04478
CO_Cu_211_top-t    2.039    2.603    2.581    0.67    1.0    9.0    1    -2.39    1.117    4.719    7.726    1.236    9.681    1.238    1.9    0.105    0.239    10.1021/acscatal.8b04478
CO_Fe_210_top-s    1.075    2.476    2.451    0.8    1.59    4.0    1    -0.804    2.29    4.43    7.902    0.153    6.623    1.185    1.83    0.809    0.261    this work
CO_Fe_210_top-t    0.925    2.476    2.492    0.8    1.59    6.0    1    -0.604    2.411    4.43    7.902    0.153    6.648    1.317    1.83    0.647    0.278    this work
CO_Ir_211_bridge1-t    1.234    2.753    2.735    1.08    4.45    9.5    2    -2.007    2.705    5.489    9.121    1.564    7.695    1.32    2.2    1.299    0.11    10.1021/acscatal.8b04478
CO_Ir_211_bridge2-s    0.634    2.753    2.699    1.08    4.45    7.0    2    -1.706    2.442    5.489    9.121    1.564    7.8    1.214    2.2    1.538    0.258    10.1021/acscatal.8b04478
CO_Ir_211_bridge2-t    1.234    2.753    2.715    1.08    4.45    9.0    2    -2.027    2.683    5.489    9.121    1.564    7.682    1.31    2.2    1.263    0.122    10.1021/acscatal.8b04478
CO_Ir_211_bridge3-s    0.875    2.753    2.727    1.08    4.45    8.5    2    -1.848    2.58    5.489    9.121    1.564    7.754    1.273    2.2    1.436    0.178    10.1021/acscatal.8b04478
CO_Ir_211_fcc-t    1.413    2.753    2.741    1.08    4.45    9.667    3    -2.0    2.712    5.489    9.121    1.564    7.699    1.323    2.2    1.311    0.106    10.1021/acscatal.8b04478
CO_Ir_211_hcp-t    1.221    2.753    2.728    1.08    4.45    9.333    3    -2.013    2.697    5.489    9.121    1.564    7.69    1.316    2.2    1.287    0.114    10.1021/acscatal.8b04478
CO_Ir_211_top-s    0.347    2.753    2.699    1.08    4.45    7.0    1    -1.703    2.45    5.489    9.121    1.564    7.799    1.214    2.2    1.537    0.258    10.1021/acscatal.8b04478
CO_Ir_211_top-t    0.791    2.753    2.715    1.08    4.45    9.0    1    -2.027    2.683    5.489    9.121    1.564    7.68    1.31    2.2    1.263    0.122    10.1021/acscatal.8b04478
CO_IrRu_211_bridge1-s-3    1.048    2.737    2.699    1.065    4.16    8.0    2    -1.576    2.345    5.53    8.241    1.305    7.342    1.06    2.2    1.671    0.213    10.1021/acscatal.8b04478
CO_IrRu_211_bridge1-t-3    1.092    2.737    2.717    1.08    4.45    9.5    2    -1.956    2.568    5.53    9.121    1.564    7.618    1.264    2.2    1.183    0.151    10.1021/acscatal.8b04478
CO_IrRu_211_bridge1-t-4    1.137    2.737    2.718    1.065    4.16    9.5    2    -1.703    2.475    5.53    8.241    1.305    7.319    1.12    2.2    1.407    0.128    10.1021/acscatal.8b04478
CO_IrRu_211_bridge2-t-2    1.067    2.737    2.704    1.065    4.16    9.0    2    -1.695    2.46    5.53    8.241    1.305    7.319    1.106    2.2    1.54    0.149    10.1021/acscatal.8b04478
CO_IrRu_211_bridge3-s-2    0.946    2.737    2.712    1.065    4.16    8.5    2    -1.583    2.36    5.53    8.241    1.305    7.342    1.073    2.2    1.538    0.192    10.1021/acscatal.8b04478
CO_IrRu_211_hcp-s-1    0.849    2.737    2.694    1.07    4.257    7.667    3    -1.614    2.327    5.53    8.534    1.391    7.472    1.087    2.2    1.643    0.272    10.1021/acscatal.8b04478
CO_IrRu_211_hcp-t-1    1.008    2.737    2.716    1.06    4.063    9.333    3    -1.603    2.444    5.53    7.948    1.219    7.23    1.072    2.2    1.521    0.133    10.1021/acscatal.8b04478
CO_IrRu_211_hcp-t-2    1.031    2.737    2.713    1.07    4.257    9.333    3    -1.785    2.501    5.53    8.534    1.391    7.419    1.163    2.2    1.377    0.143    10.1021/acscatal.8b04478
CO_IrRu_211_top-s-1    0.357    2.737    2.685    1.08    4.45    7.0    1    -1.69    2.292    5.53    9.121    1.564    7.731    1.141    2.2    1.587    0.389    10.1021/acscatal.8b04478
CO_IrRu_211_top-s-2    0.753    2.737    2.694    1.05    3.87    7.0    1    -1.203    2.137    5.53    7.361    1.046    7.066    0.87    2.2    2.026    0.254    10.1021/acscatal.8b04478
CO_IrRu_211_top-t-1    0.901    2.737    2.705    1.05    3.87    9.0    1    -1.442    2.367    5.53    7.361    1.046    7.019    0.962    2.2    1.764    0.125    10.1021/acscatal.8b04478
CO_IrRu_211_top-t-2    0.734    2.737    2.703    1.08    4.45    9.0    1    -1.949    2.553    5.53    9.121    1.564    7.618    1.251    2.2    1.316    0.172    10.1021/acscatal.8b04478
CO_Ni_211_bridge1-s    0.936    2.502    2.473    0.71    1.16    8.0    2    -1.224    1.729    4.945    7.64    1.157    8.833    1.21    1.91    1.88    0.182    10.1021/acscatal.8b04478
CO_Ni_211_bridge2-s    0.773    2.502    2.464    0.71    1.16    7.0    2    -1.158    1.645    4.945    7.64    1.157    8.86    1.141    1.91    1.873    0.218    10.1021/acscatal.8b04478
CO_Ni_211_bridge2-t    0.972    2.502    2.482    0.71    1.16    9.0    2    -1.277    1.81    4.945    7.64    1.157    8.802    1.277    1.91    1.91    0.145    10.1021/acscatal.8b04478
CO_Ni_211_bridge3-s    1.041    2.502    2.484    0.71    1.16    8.5    2    -1.231    1.769    4.945    7.64    1.157    8.821    1.232    1.91    1.786    0.169    10.1021/acscatal.8b04478
CO_Ni_211_fcc-s    0.879    2.502    2.476    0.71    1.16    8.333    3    -1.236    1.755    4.945    7.64    1.157    8.821    1.231    1.91    1.903    0.169    10.1021/acscatal.8b04478
CO_Ni_211_fcc-t    1.072    2.502    2.496    0.71    1.16    9.667    3    -1.29    1.865    4.945    7.64    1.157    8.784    1.308    1.91    1.78    0.128    10.1021/acscatal.8b04478
CO_Ni_211_four-fold-s    1.092    2.502    2.484    0.71    1.16    8.5    4    -1.225    1.768    4.945    7.64    1.157    8.817    1.232    1.91    1.796    0.169    10.1021/acscatal.8b04478
CO_Ni_211_hcp-s    0.772    2.502    2.47    0.71    1.16    7.667    3    -1.2    1.701    4.945    7.64    1.157    8.842    1.186    1.91    1.883    0.194    10.1021/acscatal.8b04478
CO_Ni_211_hcp-t    0.908    2.502    2.489    0.71    1.16    9.333    3    -1.28    1.837    4.945    7.64    1.157    8.791    1.292    1.91    1.847    0.136    10.1021/acscatal.8b04478
CO_Ni_211_top-s    0.911    2.502    2.464    0.71    1.16    7.0    1    -1.152    1.645    4.945    7.64    1.157    8.858    1.14    1.91    1.888    0.218    10.1021/acscatal.8b04478
CO_Ni_211_top-t    1.151    2.502    2.482    0.71    1.16    9.0    1    -1.27    1.809    4.945    7.64    1.157    8.801    1.275    1.91    1.917    0.145    10.1021/acscatal.8b04478
CO_Pd_211_bridge1-s    1.016    2.819    2.799    0.94    2.78    8.0    2    -1.567    1.308    5.21    8.337    0.562    9.312    0.727    2.2    2.244    0.137    10.1021/acscatal.8b04478
CO_Pd_211_bridge2-s    0.854    2.819    2.79    0.94    2.78    7.0    2    -1.5    1.244    5.21    8.337    0.562    9.334    0.682    2.2    2.15    0.15    10.1021/acscatal.8b04478
CO_Pd_211_bridge2-t    0.97    2.819    2.809    0.94    2.78    9.0    2    -1.635    1.372    5.21    8.337    0.562    9.288    0.773    2.2    2.33    0.125    10.1021/acscatal.8b04478
CO_Pd_211_bridge3-s    1.044    2.819    2.808    0.94    2.78    8.5    2    -1.625    1.337    5.21    8.337    0.562    9.294    0.75    2.2    2.128    0.13    10.1021/acscatal.8b04478
CO_Pd_211_fcc-s    0.859    2.819    2.803    0.94    2.78    8.333    3    -1.59    1.329    5.21    8.337    0.562    9.303    0.743    2.2    2.269    0.133    10.1021/acscatal.8b04478
CO_Pd_211_fcc-t    0.99    2.819    2.82    0.94    2.78    9.667    3    -1.715    1.405    5.21    8.337    0.562    9.265    0.804    2.2    2.178    0.115    10.1021/acscatal.8b04478
CO_Pd_211_hcp-s    0.832    2.819    2.796    0.94    2.78    7.667    3    -1.545    1.287    5.21    8.337    0.562    9.319    0.712    2.2    2.211    0.141    10.1021/acscatal.8b04478
CO_Pd_211_hcp-t    0.847    2.819    2.814    0.94    2.78    9.333    3    -1.677    1.386    5.21    8.337    0.562    9.276    0.789    2.2    2.252    0.12    10.1021/acscatal.8b04478
CO_Pd_211_top-s    1.234    2.819    2.79    0.94    2.78    7.0    1    -1.501    1.244    5.21    8.337    0.562    9.334    0.683    2.2    2.147    0.15    10.1021/acscatal.8b04478
CO_Pd_211_top-t    1.346    2.819    2.809    0.94    2.78    9.0    1    -1.635    1.372    5.21    8.337    0.562    9.286    0.773    2.2    2.325    0.125    10.1021/acscatal.8b04478
CO_Pd@Ir_211_bridge1-s-2    0.947    2.753    2.709    1.08    4.45    8.0    2    -1.828    2.519    5.462    9.121    1.564    7.745    1.248    2.2    1.515    0.202    10.1021/acscatal.8b04478
CO_Pd@Ir_211_bridge1-s-3    1.116    2.753    2.7    1.08    4.45    8.0    2    -1.851    2.611    5.462    9.121    1.564    7.727    1.25    2.2    1.483    0.191    10.1021/acscatal.8b04478
CO_Pd@Ir_211_bridge1-t-1    1.189    2.753    2.735    1.08    4.45    9.5    2    -1.956    2.667    5.462    9.121    1.564    7.7    1.302    2.2    1.371    0.125    10.1021/acscatal.8b04478
CO_Pd@Ir_211_bridge1-t-2    1.221    2.753    2.739    1.08    4.45    9.5    2    -1.975    2.671    5.462    9.121    1.564    7.689    1.31    2.2    1.336    0.122    10.1021/acscatal.8b04478
CO_Pd@Ir_211_bridge1-t-3    1.224    2.753    2.731    1.08    4.45    9.5    2    -1.998    2.763    5.462    9.121    1.564    7.672    1.312    2.2    1.303    0.111    10.1021/acscatal.8b04478
CO_Pd@Ir_211_bridge2-s-2    0.584    2.753    2.692    1.08    4.45    7.0    2    -1.717    2.428    5.462    9.121    1.564    7.798    1.203    2.2    1.659    0.262    10.1021/acscatal.8b04478
CO_Pd@Ir_211_bridge2-t-1    1.04    2.753    2.725    1.08    4.45    9.0    2    -1.939    2.61    5.462    9.121    1.564    7.691    1.293    2.2    1.372    0.142    10.1021/acscatal.8b04478
CO_Pd@Ir_211_bridge2-t-2    1.185    2.753    2.717    1.08    4.45    9.0    2    -1.963    2.702    5.462    9.121    1.564    7.673    1.294    2.2    1.339    0.131    10.1021/acscatal.8b04478
CO_Pd@Ir_211_bridge3-s-1    1.16    2.753    2.769    1.01    3.615    8.5    2    -2.044    2.161    5.462    8.729    1.063    8.458    1.072    2.2    1.035    0.14    10.1021/acscatal.8b04478
CO_Pd@Ir_211_bridge3-s-2    0.865    2.753    2.723    1.08    4.45    8.5    2    -1.863    2.581    5.462    9.121    1.564    7.743    1.265    2.2    1.479    0.182    10.1021/acscatal.8b04478
CO_Pd@Ir_211_fcc-t-1    1.38    2.753    2.741    1.08    4.45    9.667    3    -1.974    2.689    5.462    9.121    1.564    7.696    1.311    2.2    1.347    0.117    10.1021/acscatal.8b04478
CO_Pd@Ir_211_fcc-t-2    1.425    2.753    2.738    1.08    4.45    9.667    3    -2.002    2.753    5.462    9.121    1.564    7.677    1.317    2.2    1.302    0.108    10.1021/acscatal.8b04478
CO_Pd@Ir_211_hcp-s-1    0.934    2.753    2.736    1.033    3.893    7.667    3    -1.923    2.212    5.462    8.86    1.23    8.232    1.109    2.2    1.243    0.192    10.1021/acscatal.8b04478
CO_Pd@Ir_211_hcp-s-2    1.015    2.753    2.697    1.08    4.45    7.667    3    -1.806    2.55    5.462    9.121    1.564    7.751    1.234    2.2    1.541    0.215    10.1021/acscatal.8b04478
CO_Pd@Ir_211_hcp-t-1    1.081    2.753    2.732    1.08    4.45    9.333    3    -1.95    2.648    5.462    9.121    1.564    7.697    1.299    2.2    1.372    0.13    10.1021/acscatal.8b04478
CO_Pd@Ir_211_hcp-t-2    1.217    2.753    2.729    1.08    4.45    9.333    3    -1.978    2.712    5.462    9.121    1.564    7.678    1.305    2.2    1.326    0.121    10.1021/acscatal.8b04478
CO_Pd@Ir_211_top-s-1    1.413    2.753    2.792    0.94    2.78    7.0    1    -2.114    1.598    5.462    8.337    0.562    9.205    0.831    2.2    0.699    0.173    10.1021/acscatal.8b04478
CO_Pd@Ir_211_top-s-2    0.363    2.753    2.692    1.08    4.45    7.0    1    -1.717    2.428    5.462    9.121    1.564    7.798    1.203    2.2    1.659    0.262    10.1021/acscatal.8b04478
CO_Pd@Ir_211_top-t-1    0.696    2.753    2.725    1.08    4.45    9.0    1    -1.939    2.61    5.462    9.121    1.564    7.691    1.293    2.2    1.372    0.142    10.1021/acscatal.8b04478
CO_Pd@Ir_211_top-t-2    0.766    2.753    2.708    1.08    4.45    9.0    1    -1.986    2.793    5.462    9.121    1.564    7.656    1.296    2.2    1.307    0.12    10.1021/acscatal.8b04478
CO_Pt_211_bridge1-s    1.089    2.838    2.801    1.04    3.9    8.0    2    -1.966    1.975    5.75    8.959    2.125    8.792    1.149    2.28    1.753    0.153    10.1021/acscatal.8b04478
CO_Pt_211_bridge1-t    1.225    2.838    2.836    1.04    3.9    9.5    2    -2.067    2.069    5.75    8.959    2.125    8.789    1.213    2.28    1.631    0.112    10.1021/acscatal.8b04478
CO_Pt_211_bridge2-s    0.784    2.838    2.781    1.04    3.9    7.0    2    -1.895    1.891    5.75    8.959    2.125    8.812    1.101    2.28    1.72    0.176    10.1021/acscatal.8b04478
CO_Pt_211_bridge2-t    1.098    2.838    2.82    1.04    3.9    9.0    2    -2.037    2.06    5.75    8.959    2.125    8.772    1.199    2.28    1.788    0.129    10.1021/acscatal.8b04478
CO_Pt_211_bridge3-s    1.058    2.838    2.817    1.04    3.9    8.5    2    -1.996    1.985    5.75    8.959    2.125    8.807    1.164    2.28    1.596    0.135    10.1021/acscatal.8b04478
CO_Pt_211_fcc-s    1.115    2.838    2.807    1.04    3.9    8.333    3    -1.989    2.003    5.75    8.959    2.125    8.786    1.167    2.28    1.766    0.145    10.1021/acscatal.8b04478
CO_Pt_211_fcc-t    1.324    2.838    2.842    1.04    3.9    9.667    3    -2.076    2.073    5.75    8.959    2.125    8.792    1.219    2.28    1.579    0.106    10.1021/acscatal.8b04478
CO_Pt_211_hcp-s    1.039    2.838    2.794    1.04    3.9    7.667    3    -1.942    1.947    5.75    8.959    2.125    8.8    1.133    2.28    1.742    0.16    10.1021/acscatal.8b04478
CO_Pt_211_hcp-t    1.152    2.838    2.831    1.04    3.9    9.333    3    -2.056    2.066    5.75    8.959    2.125    8.78    1.21    2.28    1.684    0.118    10.1021/acscatal.8b04478
CO_Pt_211_top-s    0.844    2.838    2.781    1.04    3.9    7.0    1    -1.894    1.89    5.75    8.959    2.125    8.815    1.102    2.28    1.721    0.176    10.1021/acscatal.8b04478
CO_Pt_211_top-t    1.145    2.838    2.82    1.04    3.9    9.0    1    -2.037    2.06    5.75    8.959    2.125    8.769    1.2    2.28    1.789    0.129    10.1021/acscatal.8b04478
CO_Pt@Rh_211_bridge1-s-1    1.145    2.734    2.723    1.015    3.61    8.0    2    -1.755    2.081    5.191    8.209    1.634    8.326    1.062    2.28    1.499    0.175    10.1021/acscatal.8b04478
CO_Pt@Rh_211_bridge1-s-2    1.012    2.734    2.705    0.99    3.32    8.0    2    -1.381    2.229    5.191    7.459    1.143    7.909    1.064    2.28    2.023    0.185    10.1021/acscatal.8b04478
CO_Pt@Rh_211_bridge1-s-3    0.958    2.734    2.699    0.99    3.32    8.0    2    -1.392    2.234    5.191    7.459    1.143    7.905    1.052    2.28    2.018    0.183    10.1021/acscatal.8b04478
CO_Pt@Rh_211_bridge1-t-1    1.037    2.734    2.725    0.99    3.32    9.5    2    -1.477    2.422    5.191    7.459    1.143    7.857    1.143    2.28    1.83    0.123    10.1021/acscatal.8b04478
CO_Pt@Rh_211_bridge1-t-3    0.987    2.734    2.717    0.99    3.32    9.5    2    -1.496    2.428    5.191    7.459    1.143    7.845    1.116    2.28    1.836    0.12    10.1021/acscatal.8b04478
CO_Pt@Rh_211_bridge2-s-1    0.837    2.734    2.714    1.015    3.61    7.0    2    -1.667    1.96    5.191    8.209    1.634    8.369    1.009    2.28    1.633    0.221    10.1021/acscatal.8b04478
CO_Pt@Rh_211_bridge2-s-2    0.71    2.734    2.696    0.99    3.32    7.0    2    -1.293    2.108    5.191    7.459    1.143    7.953    1.01    2.28    2.157    0.231    10.1021/acscatal.8b04478
CO_Pt@Rh_211_bridge2-t-2    0.947    2.734    2.708    0.99    3.32    9.0    2    -1.481    2.356    5.191    7.459    1.143    7.862    1.105    2.28    1.884    0.137    10.1021/acscatal.8b04478
CO_Pt@Rh_211_bridge3-s-1    1.088    2.734    2.734    1.015    3.61    8.5    2    -1.763    2.153    5.191    8.209    1.634    8.316    1.088    2.28    1.439    0.159    10.1021/acscatal.8b04478
CO_Pt@Rh_211_bridge3-s-2    0.91    2.734    2.713    0.99    3.32    8.5    2    -1.396    2.301    5.191    7.459    1.143    7.893    1.074    2.28    1.975    0.168    10.1021/acscatal.8b04478
CO_Pt@Rh_211_fcc-s-2    0.974    2.734    2.704    0.99    3.32    8.333    3    -1.418    2.273    5.191    7.459    1.143    7.892    1.074    2.28    1.975    0.168    10.1021/acscatal.8b04478
CO_Pt@Rh_211_fcc-t-1    1.104    2.734    2.727    0.99    3.32    9.667    3    -1.484    2.446    5.191    7.459    1.143    7.849    1.141    2.28    1.818    0.117    10.1021/acscatal.8b04478
CO_Pt@Rh_211_fcc-t-2    1.05    2.734    2.722    0.99    3.32    9.667    3    -1.497    2.45    5.191    7.459    1.143    7.841    1.123    2.28    1.822    0.115    10.1021/acscatal.8b04478
CO_Pt@Rh_211_hcp-s-1    0.942    2.734    2.714    1.007    3.513    7.667    3    -1.601    2.09    5.191    7.959    1.47    8.201    1.045    2.28    1.719    0.194    10.1021/acscatal.8b04478
CO_Pt@Rh_211_hcp-s-2    0.775    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.192    5.191    7.459    1.143    7.921    1.038    2.28    2.064    0.199    10.1021/acscatal.8b04478
CO_Pt@Rh_211_hcp-t-1    0.897    2.734    2.721    0.99    3.32    9.333    3    -1.474    2.398    5.191    7.459    1.143    7.86    1.134    2.28    1.85    0.129    10.1021/acscatal.8b04478
CO_Pt@Rh_211_hcp-t-2    0.864    2.734    2.716    0.99    3.32    9.333    3    -1.487    2.402    5.191    7.459    1.143    7.852    1.116    2.28    1.854    0.127    10.1021/acscatal.8b04478
CO_Pt@Rh_211_top-s-1    0.947    2.734    2.732    1.04    3.9    7.0    1    -2.041    1.812    5.191    8.959    2.125    8.785    1.007    2.28    1.109    0.211    10.1021/acscatal.8b04478
